food_name,proteins_100g,carbohydrates_100g,fat_100g,cals_100g,category_name,diet_type
Alaskan salmon,25.4,0,6.7,170,Fish,Omnivorous
Almonds,21.3,19.7,50.6,577,Nuts,Vegan
Amaranth,14.5,66.2,6.5,374,Grains,Vegan
Anchovies,29,0,9.7,210,Fish,Omnivorous
Asparagus,2.4,4.1,0.2,22,Vegetables,Vegan
Avocado,2,8.5,14.7,160,Fruits,Vegan
Barley,2.3,28.2,0.4,123,Grains,Vegan
Black beans (boiled),8.9,23.7,0.5,132,Beans,Vegan
Broccoli,2.4,7.2,0.4,35,Vegetables,Vegan
Camembert,19.8,0.5,24.3,300,Cheese,Vegetarian
Cashew nuts,18.2,30.2,43.9,552,Nuts,Vegan
Cheddar,25,1.3,33.1,403,Cheese,Vegetarian
Chia seeds,15.6,43.9,30.8,490,Seeds,Vegan
Chicken Breast,31,0,3.6,165,Meat,Omnivorous
Chickpeas (boiled),8.9,27.4,2.6,164,Legumes,Vegan
Clam,25.5,5.1,2,148,Shellfish & Mollusks,Omnivorous
Cod,22.8,0,0.9,105,Fish,Omnivorous
Cottage cheese,12.5,2.7,4.5,103,Cheese,Vegetarian
Cow Milk,3.3,4.7,2,50,Milk,Vegetarian
Crab,21,0,1.5,107,Shellfish & Mollusks,Omnivorous
Cuttlefish,32.5,1.6,1.4,158,Shellfish & Mollusks,Omnivorous
Duck breast,22.2,0,7.6,162.5,Meat,Omnivorous
Edam,25,1.4,27.8,357,Cheese,Vegetarian
Edamame,12.4,11.1,6.4,141,Legumes,Vegan
Eggs,12.6,0.7,9.5,143,Eggs,Vegetarian
Feta,14.2,4.1,21.3,264,Cheese,Vegetarian
Firm Tofu,8.4,1.7,4.2,70,Soy Products,Vegan
Goat Milk,3.6,4.4,4,69,Milk,Vegetarian
Greek yogurt,7,4,5.4,93.5,Yogurts,Vegetarian
Halibut,26.7,0,2.9,140,Fish,Omnivorous
Lamb,24.3,0,20.8,292,Meat,Omnivorous
Lean Beef,21,0,7,152,Meat,Omnivorous
Lean Pork Chops,29,0,13.1,240,Meat,Omnivorous
Lentils (boiled),9,20.1,0.4,116,Legumes,Vegan
Lobster,20.5,1.3,0.6,98,Shellfish & Mollusks,Omnivorous
Mackerel,23.2,0,15.8,242,Fish,Omnivorous
Mozzarella,22.2,2.2,22.4,300,Cheese,Vegetarian
Mussel,23.8,7.4,4.5,172,Shellfish & Mollusks,Omnivorous
Oats,14.6,67.4,6.4,382,Grains,Vegan
Octopus,29.8,4.4,2.1,164,Shellfish & Mollusks,Omnivorous
Parmesan,35.8,3.2,25.8,392,Cheese,Vegetarian
Peanut butter,25.1,19.6,50.4,588,Nuts,Vegan
Peanuts,27.2,16.2,49.4,573,Nuts,Vegan
Pistachios,20.6,28,44.4,556,Nuts,Vegan
Pumpkin & squash kernels (roasted),29,15.7,44,531,Seeds,Vegan
Quinoa (cooked),4.4,21.3,1.9,120,Grains,Vegan
Ricotta,11.5,3,13,174,Cheese,Vegetarian
Sardines,24.6,0,11.5,208,Fish,Omnivorous
Seitan,21.2,3.5,1.2,106,Vegan Meat Substitute,Vegan
Shrimp,20.3,0.9,1.7,106,Shellfish & Mollusks,Omnivorous
Soy Milk,4.5,5,2,52,Soy Products,Vegan
Spirulina (dried),57.5,24,7.7,290,Vegetables,Vegan
Squid,17,3.1,1.4,92,Shellfish & Mollusks,Omnivorous
Swiss cheese,27,5.4,27.8,380,Cheese,Vegetarian
Tempeh (cooked),18.2,9.4,11.4,196,Soy Products,Vegan
Tilapia,26.2,0,2.7,128,Fish,Omnivorous
Tuna (Yellowfin),24.5,0,1,108,Fish,Omnivorous
Turkey breast,29,0,0.7,135,Meat,Omnivorous
Walnuts,15.2,13.7,65.2,653,Nuts,Vegan
Wheat Germ,23.2,51.8,9.7,360,Grains,Vegan
